service_date,day_type,bus,rail_boardings,total_rides
12/26/04,U,327069,152351,479420
12/27/04,W,650769,386604,1037373
12/28/04,W,698229,438802,1137031
12/29/04,W,726475,456993,1183468
12/30/04,W,738698,457796,1196494
12/31/04,W,633996,364015,998011
1/1/05,U,334140,196267,530407
1/2/05,U,373512,183672,557184
1/3/05,W,894571,512620,1407191
1/4/05,W,972798,559563,1532361
1/5/05,W,851226,558698,1409924
1/6/05,W,862750,554283,1417033
1/7/05,W,915274,554769,1470043
1/8/05,A,533884,261042,794926
1/9/05,U,358628,177968,536596
1/10/05,W,979955,584456,1564411
1/11/05,W,954938,590368,1545306
1/12/05,W,972407,589359,1561766
1/13/05,W,931709,582596,1514305
1/14/05,W,894841,552090,1446931
1/15/05,A,481878,249401,731279
1/16/05,U,314149,169880,484029
1/17/05,W,539410,349284,888694
1/18/05,W,907849,569801,1477650
1/19/05,W,947581,583108,1530689
1/20/05,W,936302,590558,1526860
1/21/05,W,968823,591645,1560468
1/22/05,A,422190,263129,685319
1/23/05,U,345136,188044,533180
1/24/05,W,957377,580140,1537517
1/25/05,W,995268,592253,1587521
1/26/05,W,947433,581016,1528449
1/27/05,W,955413,587048,1542461
1/28/05,W,857968,554367,1412335
1/29/05,A,559310,277291,836601
1/30/05,U,387197,187644,574841
1/31/05,W,992251,583230,1575481
2/1/05,W,1050914,598684,1649598
2/2/05,W,1046742,599354,1646096
2/3/05,W,1061904,607326,1669230
2/4/05,W,1062971,595511,1658482
2/5/05,A,670035,312338,982373
2/6/05,U,413456,196102,609558
2/7/05,W,987016,578699,1565715
2/8/05,W,1005698,593343,1599041
2/9/05,W,989259,595976,1585235
2/10/05,W,1012514,596286,1608800
2/11/05,W,999975,566136,1566111
2/12/05,A,665453,316216,981669
2/13/05,U,384592,194152,578744
2/14/05,W,1015673,596928,1612601
2/15/05,W,980220,590777,1570997
2/16/05,W,1002714,602439,1605153
2/17/05,W,981996,593476,1575472
2/18/05,W,983784,582874,1566658
2/19/05,A,619586,308419,928005
2/20/05,U,365108,192834,557942
2/21/05,W,723673,445742,1169415
2/22/05,W,1002989,600405,1603394
2/23/05,W,996383,601647,1598030
2/24/05,W,982207,599568,1581775
2/25/05,W,1002592,590287,1592879
2/26/05,A,603707,304026,907733
2/27/05,U,386996,200694,587690
2/28/05,W,943655,578722,1522377
3/1/05,W,1012943,591771,1604714
3/2/05,W,984054,587875,1571929
3/3/05,W,1030040,600570,1630610
3/4/05,W,1027003,589864,1616867
3/5/05,A,625252,303912,929164
3/6/05,U,451472,218330,669802
3/7/05,W,814934,533210,1348144
3/8/05,W,1009879,597987,1607866
3/9/05,W,996362,598004,1594366
3/10/05,W,941999,585359,1527358
3/11/05,W,994830,587513,1582343
3/12/05,A,581761,317998,899759
3/13/05,U,393195,205254,598449
3/14/05,W,980033,583024,1563057
3/15/05,W,1017371,606409,1623780
3/16/05,W,1011281,607649,1618930
3/17/05,W,989736,605564,1595300
3/18/05,W,1017219,593449,1610668
3/19/05,A,610862,312814,923676
3/20/05,U,416015,208726,624741
3/21/05,W,849240,544264,1393504
3/22/05,W,861916,553996,1415912
3/23/05,W,837601,544825,1382426
3/24/05,W,848267,544242,1392509
3/25/05,W,717162,456076,1173238
3/26/05,A,550378,266697,817075
3/27/05,U,392111,172199,564310
3/28/05,W,968792,568013,1536805
3/29/05,W,1001423,598783,1600206
3/30/05,W,942056,580582,1522638
3/31/05,W,966045,589937,1555982
4/1/05,W,1050962,600913,1651875
4/2/05,A,663367,322162,985529
4/3/05,U,440189,229712,669901
4/4/05,W,1035659,608092,1643751
4/5/05,W,1048343,612259,1660602
4/6/05,W,1005400,610876,1616276
4/7/05,W,1001832,612048,1613880
4/8/05,W,1034023,642939,1676962
4/9/05,A,645280,347387,992667
4/10/05,U,439237,244746,683983
4/11/05,W,1013684,615683,1629367
4/12/05,W,938160,597721,1535881
4/13/05,W,1016213,630756,1646969
4/14/05,W,1026667,616143,1642810
4/15/05,W,953214,602625,1555839
4/16/05,A,637641,331817,969458
4/17/05,U,428663,225292,653955
4/18/05,W,1015285,609637,1624922
4/19/05,W,1011163,622316,1633479
4/20/05,W,963837,600039,1563876
4/21/05,W,954629,601125,1555754
4/22/05,W,926157,588764,1514921
4/23/05,A,541013,297122,838135
4/24/05,U,401026,221195,622221
4/25/05,W,1003896,610619,1614515
4/26/05,W,1002029,620181,1622210
4/27/05,W,932943,620361,1553304
4/28/05,W,945137,604452,1549589
4/29/05,W,1036716,608264,1644980
4/30/05,A,635054,315323,950377
5/1/05,U,406509,215144,621653
5/2/05,W,1000310,585188,1585498
5/3/05,W,1045152,610739,1655891
5/4/05,W,1036608,612365,1648973
5/5/05,W,1044204,621992,1666196
5/6/05,W,1027299,626005,1653304
5/7/05,A,613000,341551,954551
5/8/05,U,441575,242829,684404
5/9/05,W,960649,593537,1554186
5/10/05,W,1033686,634549,1668235
5/11/05,W,908042,592526,1500568
5/12/05,W,976440,605243,1581683
5/13/05,W,980674,597196,1577870
5/14/05,A,615871,324491,940362
5/15/05,U,400447,218269,618716
5/16/05,W,1005555,598942,1604497
5/17/05,W,1013627,607296,1620923
5/18/05,W,1003414,604841,1608255
5/19/05,W,951340,593341,1544681
5/20/05,W,1028933,625628,1654561
5/21/05,A,647441,353375,1000816
5/22/05,U,436056,249081,685137
5/23/05,W,997640,612963,1610603
5/24/05,W,1017021,636017,1653038
5/25/05,W,1002504,628633,1631137
5/26/05,W,995429,632007,1627436
5/27/05,W,987014,616101,1603115
5/28/05,A,583683,356717,940400
5/29/05,U,415969,261440,677409
5/30/05,U,403677,232100,635777
5/31/05,W,968847,591522,1560369
6/1/05,W,1041992,613034,1655026
6/2/05,W,1015376,603865,1619241
6/3/05,W,1049697,616170,1665867
6/4/05,A,621165,322782,943947
6/5/05,U,448366,236960,685326
6/6/05,W,1012097,619504,1631601
6/7/05,W,1003186,628716,1631902
6/8/05,W,984240,632453,1616693
6/9/05,W,1000130,622726,1622856
6/10/05,W,997687,654887,1652574
6/11/05,A,647313,413642,1060955
6/12/05,U,446785,287623,734408
6/13/05,W,973038,628857,1601895
6/14/05,W,955995,635882,1591877
6/15/05,W,941737,637318,1579055
6/16/05,W,931626,603660,1535286
6/17/05,W,998232,611676,1609908
6/18/05,A,636265,346258,982523
6/19/05,U,459729,243775,703504
6/20/05,W,880325,591715,1472040
6/21/05,W,889907,606210,1496117
6/22/05,W,890705,607690,1498395
6/23/05,W,888587,593403,1481990
6/24/05,W,869672,643554,1513226
6/25/05,A,629963,398677,1028640
6/26/05,U,456191,354882,811073
6/27/05,W,867853,591716,1459569
6/28/05,W,870601,632227,1502828
6/29/05,W,871256,638601,1509857
6/30/05,W,878941,646980,1525921
7/1/05,W,945326,662564,1607890
7/2/05,A,686826,463297,1150123
7/3/05,U,559176,517599,1076775
7/4/05,U,422316,278678,700994
7/5/05,W,913873,569757,1483630
7/6/05,W,926125,590642,1516767
7/7/05,W,929359,578396,1507755
7/8/05,W,950222,591325,1541547
7/9/05,A,623556,331017,954573
7/10/05,U,444647,239684,684331
7/11/05,W,913284,573004,1486288
7/12/05,W,909026,585394,1494420
7/13/05,W,923039,596373,1519412
7/14/05,W,936684,634107,1570791
7/15/05,W,937018,631418,1568436
7/16/05,A,640959,397796,1038755
7/17/05,U,443824,270831,714655
7/18/05,W,902531,582649,1485180
7/19/05,W,937251,608460,1545711
7/20/05,W,888241,597676,1485917
7/21/05,W,920983,610460,1531443
7/22/05,W,945311,614666,1559977
7/23/05,A,604287,361618,965905
7/24/05,U,393689,255844,649533
7/25/05,W,850441,580681,1431122
7/26/05,W,876111,588210,1464321
7/27/05,W,931658,626793,1558451
7/28/05,W,923931,626164,1550095
7/29/05,W,928563,618229,1546792
7/30/05,A,637235,388729,1025964
7/31/05,U,446615,261208,707823
8/1/05,W,954299,574337,1528636
8/2/05,W,939108,600448,1539556
8/3/05,W,950814,598977,1549791
8/4/05,W,941632,597051,1538683
8/5/05,W,965152,603948,1569100
8/6/05,A,648849,357240,1006089
8/7/05,U,457639,261349,718988
8/8/05,W,910549,590758,1501307
8/9/05,W,917522,606419,1523941
8/10/05,W,913900,605306,1519206
8/11/05,W,859482,588881,1448363
8/12/05,W,929636,606537,1536173
8/13/05,A,608908,350010,958918
8/14/05,U,437664,248325,685989
8/15/05,W,892308,574348,1466656
8/16/05,W,904327,589228,1493555
8/17/05,W,909306,590352,1499658
8/18/05,W,855225,561329,1416554
8/19/05,W,934667,602164,1536831
8/20/05,A,659629,361304,1020933
8/21/05,U,511141,292892,804033
8/22/05,W,897988,597005,1494993
8/23/05,W,907676,616739,1524415
8/24/05,W,909467,616129,1525596
8/25/05,W,907614,590749,1498363
8/26/05,W,916046,625532,1541578
8/27/05,A,632625,364516,997141
8/28/05,U,445633,273101,718734
8/29/05,W,921906,612444,1534350
8/30/05,W,931235,625509,1556744
8/31/05,W,928354,631355,1559709
9/1/05,W,1019495,643731,1663226
9/2/05,W,1015964,632104,1648068
9/3/05,A,699122,377507,1076629
9/4/05,U,504460,323512,827972
9/5/05,U,469528,274053,743581
9/6/05,W,1094714,647343,1742057
9/7/05,W,1090847,664041,1754888
9/8/05,W,1090390,671553,1761943
9/9/05,W,1092990,672572,1765562
9/10/05,A,662248,379906,1042154
9/11/05,U,460444,257201,717645
9/12/05,W,1088861,674800,1763661
9/13/05,W,1081012,691104,1772116
9/14/05,W,1072662,687668,1760330
9/15/05,W,1070331,702096,1772427
9/16/05,W,1061189,689685,1750874
9/17/05,A,677602,404143,1081745
9/18/05,U,473997,292920,766917
9/19/05,W,1033841,657717,1691558
9/20/05,W,1091052,685957,1777009
9/21/05,W,1085278,685975,1771253
9/22/05,W,1045853,672603,1718456
9/23/05,W,1068977,699466,1768443
9/24/05,A,632952,390116,1023068
9/25/05,U,428577,277519,706096
9/26/05,W,1050587,651165,1701752
9/27/05,W,1091710,686977,1778687
9/28/05,W,1019140,668450,1687590
9/29/05,W,1065350,668926,1734276
9/30/05,W,1114521,673776,1788297
10/1/05,A,708008,373322,1081330
10/2/05,U,451633,245477,697110
10/3/05,W,1137817,638813,1776630
10/4/05,W,1099740,677721,1777461
10/5/05,W,1099507,689759,1789266
10/6/05,W,1084528,679966,1764494
10/7/05,W,1037669,663271,1700940
10/8/05,A,638239,378215,1016454
10/9/05,U,427142,372438,799580
10/10/05,W,811357,562228,1373585
10/11/05,W,1076154,687202,1763356
10/12/05,W,1053577,685743,1739320
10/13/05,W,1068998,665605,1734603
10/14/05,W,1091226,683174,1774400
10/15/05,A,670497,376816,1047313
10/16/05,U,456332,268898,725230
10/17/05,W,1046900,653518,1700418
10/18/05,W,1071110,669214,1740324
10/19/05,W,1056343,666799,1723142
10/20/05,W,1057585,676430,1734015
10/21/05,W,1064058,674291,1738349
10/22/05,A,624399,385602,1010001
10/23/05,U,421490,277349,698839
10/24/05,W,995935,637292,1633227
10/25/05,W,1034930,653259,1688189
10/26/05,W,1041390,662049,1703439
10/27/05,W,1039411,669962,1709373
10/28/05,W,1050188,734562,1784750
10/29/05,A,646559,378146,1024705
10/30/05,U,436487,251042,687529
10/31/05,W,1000931,636744,1637675
11/1/05,W,1104565,668971,1773536
11/2/05,W,1077276,667966,1745242
11/3/05,W,1108680,678842,1787522
11/4/05,W,994280,653744,1648024
11/5/05,A,624689,351850,976539
11/6/05,U,425669,239193,664862
11/7/05,W,1060057,648893,1708950
11/8/05,W,998603,642398,1641001
11/9/05,W,1034556,655614,1690170
11/10/05,W,1049433,672627,1722060
11/11/05,W,862413,587641,1450054
11/12/05,A,626889,351085,977974
11/13/05,U,416141,247977,664118
11/14/05,W,1021597,637498,1659095
11/15/05,W,1001890,644740,1646630
11/16/05,W,960835,625642,1586477
11/17/05,W,982303,636292,1618595
11/18/05,W,997001,635900,1632901
11/19/05,A,643136,395851,1038987
11/20/05,U,424683,243191,667874
11/21/05,W,1023750,627654,1651404
11/22/05,W,1012669,637432,1650101
11/23/05,W,946475,594581,1541056
11/24/05,U,265869,149351,415220
11/25/05,W,542621,335201,877822
11/26/05,A,520348,290786,811134
11/27/05,U,378931,214449,593380
11/28/05,W,964783,610273,1575056
11/29/05,W,964736,621228,1585964
11/30/05,W,975689,623427,1599116
12/1/05,W,1002814,637299,1640113
12/2/05,W,1012143,626729,1638872
12/3/05,A,602909,343944,946853
12/4/05,U,394671,232929,627600
12/5/05,W,959432,591559,1550991
12/6/05,W,943778,595172,1538950
12/7/05,W,922076,591500,1513576
12/8/05,W,900776,651313,1552089
12/9/05,W,922330,630309,1552639
12/10/05,A,545442,331523,876965
12/11/05,U,384544,223869,608413
12/12/05,W,974895,603601,1578496
12/13/05,W,984740,612377,1597117
12/14/05,W,959741,629222,1588963
12/15/05,W,972435,621555,1593990
12/16/05,W,952574,605734,1558308
12/17/05,A,576780,326028,902808
12/18/05,U,371336,222374,593710
12/19/05,W,860779,535968,1396747
12/20/05,W,894974,534766,1429740
12/21/05,W,918067,553734,1471801
12/22/05,W,912016,544544,1456560
12/23/05,W,878003,479373,1357376
12/24/05,A,481238,198644,679882
12/25/05,U,263158,105718,368876
12/26/05,U,437677,224784,662461
12/27/05,W,735303,457726,1193029
12/28/05,W,711850,462580,1174430
12/29/05,W,738031,481238,1219269
12/30/05,W,762706,471541,1234247
12/31/05,A,526241,307444,833685
1/1/06,U,287126,203291,490417
1/2/06,U,360273,215920,576193
1/3/06,W,772171,540341,1312512
1/4/06,W,759600,543243,1302843
1/5/06,W,766560,550285,1316845
1/6/06,W,788239,551707,1339946
1/7/06,A,518237,280538,798775
1/8/06,U,367927,199691,567618
1/9/06,W,917702,588402,1506104
1/10/06,W,938390,600336,1538726
1/11/06,W,927898,602096,1529994
1/12/06,W,955926,616251,1572177
1/13/06,W,887164,585207,1472371
1/14/06,A,558211,309983,868194
1/15/06,U,381225,223499,604724
1/16/06,W,605772,399562,1005334
1/17/06,W,948555,619527,1568082
1/18/06,W,954238,621428,1575666
1/19/06,W,983087,634043,1617130
1/20/06,W,944694,615420,1560114
1/21/06,A,542740,308378,851118
1/22/06,U,371481,208257,579738
1/23/06,W,976988,626292,1603280
1/24/06,W,972893,634204,1607097
1/25/06,W,980770,634664,1615434
1/26/06,W,988382,643068,1631450
1/27/06,W,889516,608327,1497843
1/28/06,A,568287,314425,882712
1/29/06,U,380026,223196,603222
1/30/06,W,966708,614814,1581522
1/31/06,W,995530,634459,1629989
2/1/06,W,1035412,641676,1677088
2/2/06,W,1025866,642353,1668219
2/3/06,W,1020411,627330,1647741
2/4/06,A,587568,317239,904807
2/5/06,U,390808,211645,602453
2/6/06,W,986048,612106,1598154
2/7/06,W,1008328,631742,1640070
2/8/06,W,977974,629155,1607129
2/9/06,W,984574,635409,1619983
2/10/06,W,1003608,623814,1627422
2/11/06,A,601208,327796,929004
2/12/06,U,405657,221409,627066
2/13/06,W,799595,546148,1345743
2/14/06,W,1044587,644218,1688805
2/15/06,W,988045,626072,1614117
2/16/06,W,930188,613347,1543535
2/17/06,W,942685,604038,1546723
2/18/06,A,450578,265649,716227
2/19/06,U,334766,196957,531723
2/20/06,W,681948,453199,1135147
2/21/06,W,993188,623860,1617048
2/22/06,W,999636,629122,1628758
2/23/06,W,991146,635013,1626159
2/24/06,W,987623,615401,1603024
2/25/06,A,580618,314037,894655
2/26/06,U,386242,211388,597630
2/27/06,W,959193,603047,1562240
2/28/06,W,987195,623237,1610432
3/1/06,W,1020267,627527,1647794
3/2/06,W,986927,620235,1607162
3/3/06,W,1021045,620890,1641935
3/4/06,A,609288,322365,931653
3/5/06,U,363219,208605,571824
3/6/06,W,794246,550369,1344615
3/7/06,W,1006095,626557,1632652
3/8/06,W,982979,623290,1606269
3/9/06,W,979823,627081,1606904
3/10/06,W,1015665,721158,1736823
3/11/06,A,614019,386305,1000324
3/12/06,U,400822,233603,634425
3/13/06,W,968366,609970,1578336
3/14/06,W,1000900,629929,1630829
3/15/06,W,1005800,632700,1638500
3/16/06,W,953483,630443,1583926
3/17/06,W,989694,633801,1623495
3/18/06,A,603484,347527,951011
3/19/06,U,413687,225740,639427
3/20/06,W,963013,587104,1550117
3/21/06,W,943649,585590,1529239
3/22/06,W,982523,605646,1588169
3/23/06,W,979617,609325,1588942
3/24/06,W,978424,597943,1576367
3/25/06,A,620929,322685,943614
3/26/06,U,433649,234862,668511
3/27/06,W,962206,601488,1563694
3/28/06,W,981183,619650,1600833
3/29/06,W,987756,636692,1624448
3/30/06,W,996804,600724,1597528
3/31/06,W,1028124,641079,1669203
4/1/06,A,620450,348344,968794
4/2/06,U,391830,254413,646243
4/3/06,W,985177,616386,1601563
4/4/06,W,1042810,660381,1703191
4/5/06,W,1020222,654034,1674256
4/6/06,W,998368,635705,1634073
4/7/06,W,880902,634777,1515679
4/8/06,A,607382,360442,967824
4/9/06,U,426567,258613,685180
4/10/06,W,880692,601070,1481762
4/11/06,W,885029,628374,1513403
4/12/06,W,877362,627736,1505098
4/13/06,W,871878,634065,1505943
4/14/06,W,804781,551524,1356305
4/15/06,A,592251,323845,916096
4/16/06,U,324770,181980,506750
4/17/06,W,964793,623255,1588048
4/18/06,W,1000958,646316,1647274
4/19/06,W,984239,652275,1636514
4/20/06,W,938226,641954,1580180
4/21/06,W,999808,659127,1658935
4/22/06,A,607395,357315,964710
4/23/06,U,415959,248173,664132
4/24/06,W,998455,642816,1641271
4/25/06,W,953034,636129,1589163
4/26/06,W,952603,649967,1602570
4/27/06,W,955057,644011,1599068
4/28/06,W,1008989,666532,1675521
4/29/06,A,574038,343244,917282
4/30/06,U,345287,224122,569409
5/1/06,W,997873,738966,1736839
5/2/06,W,1045233,664946,1710179
5/3/06,W,1060500,663686,1724186
5/4/06,W,1047587,665514,1713101
5/5/06,W,1023957,651798,1675755
5/6/06,A,637405,368890,1006295
5/7/06,U,438858,258592,697450
5/8/06,W,1010412,624197,1634609
5/9/06,W,1004081,650430,1654511
5/10/06,W,1007923,648361,1656284
5/11/06,W,926462,621331,1547793
5/12/06,W,958553,639308,1597861
5/13/06,A,587533,340904,928437
5/14/06,U,411861,249652,661513
5/15/06,W,961857,601838,1563695
5/16/06,W,994913,648507,1643420
5/17/06,W,964565,640270,1604835
5/18/06,W,987234,653070,1640304
5/19/06,W,994011,651428,1645439
5/20/06,A,619536,365397,984933
5/21/06,U,423940,258770,682710
5/22/06,W,996607,629775,1626382
5/23/06,W,1013298,647643,1660941
5/24/06,W,951852,631510,1583362
5/25/06,W,978387,639540,1617927
5/26/06,W,988688,657379,1646067
5/27/06,A,646979,358425,1005404
5/28/06,U,461625,282850,744475
5/29/06,U,381213,245203,626416
5/30/06,W,945888,632333,1578221
5/31/06,W,968145,646966,1615111
6/1/06,W,1028046,638192,1666238
6/2/06,W,1031966,647618,1679584
6/3/06,A,668592,371768,1040360
6/4/06,U,457674,274564,732238
6/5/06,W,1005516,625171,1630687
6/6/06,W,1008096,653049,1661145
6/7/06,W,1012230,666040,1678270
6/8/06,W,1011430,675651,1687081
6/9/06,W,988332,652258,1640590
6/10/06,A,573542,349687,923229
6/11/06,U,424510,267884,692394
6/12/06,W,960901,623525,1584426
6/13/06,W,961923,664539,1626462
6/14/06,W,941928,665279,1607207
6/15/06,W,907237,659507,1566744
6/16/06,W,966314,667762,1634076
6/17/06,A,616266,384541,1000807
6/18/06,U,412366,259888,672254
6/19/06,W,880777,608854,1489631
6/20/06,W,889908,636659,1526567
6/21/06,W,859537,629433,1488970
6/22/06,W,872019,633021,1505040
6/23/06,W,905242,639365,1544607
6/24/06,A,607951,371810,979761
6/25/06,U,407079,302719,709798
6/26/06,W,852939,626802,1479741
6/27/06,W,886147,642922,1529069
6/28/06,W,886828,649479,1536307
6/29/06,W,899339,667597,1566936
6/30/06,W,950077,716112,1666189
7/1/06,A,631294,429319,1060613
7/2/06,U,440041,343944,783985
7/3/06,W,802169,684040,1486209
7/4/06,U,450356,350242,800598
7/5/06,W,901332,661426,1562758
7/6/06,W,925381,678340,1603721
7/7/06,W,928760,702727,1631487
7/8/06,A,625575,423300,1048875
7/9/06,U,443095,313512,756607
7/10/06,W,900356,618702,1519058
7/11/06,W,873419,605343,1478762
7/12/06,W,926286,615196,1541482
7/13/06,W,922492,644488,1566980
7/14/06,W,889540,669868,1559408
7/15/06,A,603018,412144,1015162
7/16/06,U,418278,308173,726451
7/17/06,W,886469,626986,1513455
7/18/06,W,927651,675064,1602715
7/19/06,W,911699,687896,1599595
7/20/06,W,827202,644150,1471352
7/21/06,W,931578,676491,1608069
7/22/06,A,625346,408434,1033780
7/23/06,U,446438,284632,731070
7/24/06,W,906725,633184,1539909
7/25/06,W,919219,650364,1569583
7/26/06,W,897731,641296,1539027
7/27/06,W,894993,663387,1558380
7/28/06,W,900144,673789,1573933
7/29/06,A,593188,423092,1016280
7/30/06,U,416361,290935,707296
7/31/06,W,831261,608739,1440000
8/1/06,W,894297,619717,1514014
8/2/06,W,872246,628299,1500545
8/3/06,W,911057,656020,1567077
8/4/06,W,951984,722072,1674056
8/5/06,A,645372,472159,1117531
8/6/06,U,451477,357797,809274
8/7/06,W,905263,633078,1538341
8/8/06,W,916905,646778,1563683
8/9/06,W,909623,641076,1550699
8/10/06,W,856682,614321,1471003
8/11/06,W,909305,638056,1547361
8/12/06,A,652458,391862,1044320
8/13/06,U,433792,268208,702000
8/14/06,W,857738,595551,1453289
8/15/06,W,888214,618372,1506586
8/16/06,W,878842,620892,1499734
8/17/06,W,874196,628756,1502952
8/18/06,W,869355,638938,1508293
8/19/06,A,612065,384987,997052
8/20/06,U,481484,321400,802884
8/21/06,W,878842,613716,1492558
8/22/06,W,896666,628952,1525618
8/23/06,W,891561,632682,1524243
8/24/06,W,831663,617548,1449211
8/25/06,W,895640,645738,1541378
8/26/06,A,592637,361355,953992
8/27/06,U,417115,276143,693258
8/28/06,W,792601,587722,1380323
8/29/06,W,891705,638128,1529833
8/30/06,W,913445,650359,1563804
8/31/06,W,917102,654437,1571539
9/1/06,W,977274,663472,1640746
9/2/06,A,668504,405986,1074490
9/3/06,U,488706,320575,809281
9/4/06,U,404856,256882,661738
9/5/06,W,1056228,680476,1736704
9/6/06,W,1069326,706958,1776284
9/7/06,W,1043601,726551,1770152
9/8/06,W,985806,708845,1694651
9/9/06,A,609019,386190,995209
9/10/06,U,379770,245048,624818
9/11/06,W,981275,656692,1637967
9/12/06,W,1030796,694780,1725576
9/13/06,W,992146,694220,1686366
9/14/06,W,1054398,719561,1773959
9/15/06,W,1060398,729995,1790393
9/16/06,A,651694,421692,1073386
9/17/06,U,433989,294159,728148
9/18/06,W,1037929,688531,1726460
9/19/06,W,1041255,690760,1732015
9/20/06,W,1053131,700536,1753667
9/21/06,W,1044501,696162,1740663
9/22/06,W,993335,668669,1662004
9/23/06,A,584517,349931,934448
9/24/06,U,420423,259500,679923
9/25/06,W,1041474,666046,1707520
9/26/06,W,1054882,695484,1750366
9/27/06,W,1035426,690413,1725839
9/28/06,W,1043356,676811,1720167
9/29/06,W,1058057,699340,1757397
9/30/06,A,636906,394280,1031186
10/1/06,U,462755,296236,758991
10/2/06,W,981933,635901,1617834
10/3/06,W,1064774,681381,1746155
10/4/06,W,1026517,675804,1702321
10/5/06,W,1060282,698851,1759133
10/6/06,W,1055911,691122,1747033
10/7/06,A,641240,373957,1015197
10/8/06,U,452460,283787,736247
10/9/06,W,806458,572361,1378819
10/10/06,W,1055021,684475,1739496
10/11/06,W,1022625,684138,1706763
10/12/06,W,998899,676609,1675508
10/13/06,W,1014747,680633,1695380
10/14/06,A,622249,386404,1008653
10/15/06,U,420083,260059,680142
10/16/06,W,1011001,668480,1679481
10/17/06,W,1029815,683799,1713614
10/18/06,W,1035671,687285,1722956
10/19/06,W,1035827,689629,1725456
10/20/06,W,1031742,705991,1737733
10/21/06,A,631254,403698,1034952
10/22/06,U,389726,375938,765664
10/23/06,W,1018534,659505,1678039
10/24/06,W,1043962,675059,1719021
10/25/06,W,1057646,663754,1721400
10/26/06,W,994421,659139,1653560
10/27/06,W,1007282,663912,1671194
10/28/06,A,622775,364159,986934
10/29/06,U,434824,265624,700448
10/30/06,W,1033777,660257,1694034
10/31/06,W,997495,663340,1660835
11/1/06,W,1053237,673789,1727026
11/2/06,W,1012046,671054,1683100
11/3/06,W,959706,654291,1613997
11/4/06,A,609584,356326,965910
11/5/06,U,435747,266756,702503
11/6/06,W,1026257,653935,1680192
11/7/06,W,1033037,651606,1684643
11/8/06,W,1046870,674951,1721821
11/9/06,W,1001116,668263,1669379
11/10/06,W,935843,610547,1546390
11/11/06,A,591773,376391,968164
11/12/06,U,417471,251876,669347
11/13/06,W,1007564,643008,1650572
11/14/06,W,1047208,669094,1716302
11/15/06,W,1039976,661667,1701643
11/16/06,W,998140,658701,1656841
11/17/06,W,1018763,664438,1683201
11/18/06,A,620464,403175,1023639
11/19/06,U,417408,242830,660238
11/20/06,W,1022880,638117,1660997
11/21/06,W,1022970,651230,1674200
11/22/06,W,980561,616974,1597535
11/23/06,U,318233,182131,500364
11/24/06,W,628700,393228,1021928
11/25/06,A,549875,317650,867525
11/26/06,U,400592,234961,635553
11/27/06,W,1012191,628799,1640990
11/28/06,W,1030255,648239,1678494
11/29/06,W,976231,634505,1610736
11/30/06,W,985569,649626,1635195
12/1/06,W,912314,629776,1542090
12/2/06,A,595637,338009,933646
12/3/06,U,375419,224761,600180
12/4/06,W,962864,605349,1568213
12/5/06,W,992857,620241,1613098
12/6/06,W,1015490,629687,1645177
12/7/06,W,921792,603900,1525692
12/8/06,W,952445,626294,1578739
12/9/06,A,590225,344215,934440
12/10/06,U,406068,237226,643294
12/11/06,W,995926,609360,1605286
12/12/06,W,991473,612992,1604465
12/13/06,W,1020619,640224,1660843
12/14/06,W,1007667,626704,1634371
12/15/06,W,1002739,632077,1634816
12/16/06,A,632218,356756,988974
12/17/06,U,432910,251802,684712
12/18/06,W,990534,591895,1582429
12/19/06,W,1019785,596338,1616123
12/20/06,W,975226,586048,1561274
12/21/06,W,924778,564199,1488977
